Jakarta,Surabaya,Semarang,Cilacap
0.7514986,1.515734,0.2425902,0.9286474
0.5801541,1.490632,0.3419141,1.065939
0.4054811,1.51333,0.4705175,1.264615
0.2494875,1.617464,0.5962331,1.487248
0.1359308,1.811056,0.7016273,1.685674
0.07777946,2.071854,0.7847403,1.812358
0.07012951,2.350836,0.8468985,1.832161
0.09537057,2.583221,0.8820319,1.731547
0.136663,2.704357,0.8792918,1.522852
0.1883945,2.666494,0.8364732,1.242385
0.255239,2.452172,0.7699751,0.9427216
0.3420699,2.080663,0.7092796,0.6808302
0.4452567,1.60564,0.6783541,0.5049932
0.5538953,1.104409,0.6792543,0.4436426
0.6593053,0.661207,0.6920999,0.4989282
0.7625751,0.348578,0.6913207,0.6466555
0.8715143,0.2114014,0.663912,0.8426972
0.9887243,0.2575074,0.6145193,1.034304
1.101795,0.4572097,0.5551532,1.173579
1.185614,0.7518486,0.4916198,1.229648
1.216091,1.069146,0.4208946,1.196477
1.184139,1.341504,0.3418256,1.094261
1.098451,1.522538,0.2674857,0.9639419
0.9758586,1.59768,0.2249324,0.8561724
0.8292155,1.586144,0.2397826,0.817486
0.664226,1.533795,0.3178006,0.8771819
0.4871819,1.498824,0.4394542,1.038387
0.3142844,1.534028,0.5722979,1.275701
0.1712167,1.670352,0.6904622,1.540224
0.08101496,1.906177,0.7849261,1.770892
0.05012169,2.20528,0.8577113,1.909398
0.06530811,2.504216,0.908382,1.914993
0.1048777,2.727472,0.9278273,1.775416
0.1546955,2.80657,0.9060747,1.511066
0.2153496,2.698329,0.8461711,1.1712
0.2951411,2.397517,0.7692472,0.8229395
0.3967768,1.940542,0.7036769,0.5356896
0.5110912,1.399007,0.6663535,0.3647455
0.6237187,0.8645449,0.652078,0.338222
0.7276013,0.428539,0.6402187,0.4505637
0.8281517,0.1617109,0.6124426,0.6643643
0.9348961,0.09858201,0.5658301,0.9200815
1.046771,0.2306697,0.5108282,1.151273
1.145166,0.5100561,0.4581119,1.30152
1.202329,0.8624,0.4084701,1.338768
1.198719,1.206023,0.3559892,1.26337
1.134588,1.472272,0.3009772,1.107722
1.026353,1.621905,0.2588134,0.9275375
0.8922906,1.653426,0.2542435,0.786851
0.7415212,1.60127,0.3044427,0.7406344
0.5761983,1.524402,0.4052289,0.8194479
0.4034075,1.488387,0.5325913,1.020165
0.2432778,1.545665,0.6581216,1.305304
0.1233201,1.719243,0.7647885,1.611358
0.06238303,1.994254,0.8500829,1.864081
0.05837693,2.319627,0.9160482,1.99709
0.09133067,2.61979,0.9579148,1.968984
0.1395873,2.813318,0.9637012,1.774641
0.1950182,2.834079,0.9255619,1.447672
0.2642533,2.649234,0.8514681,1.053282
0.3560998,2.269552,0.7647657,0.6731114
0.4681282,1.749184,0.690293,0.3858288
0.5855229,1.174761,0.6385196,0.2482064
0.6930589,0.6463712,0.6013974,0.2815291
0.7878548,0.2551056,0.5629827,0.466727
0.87969,0.06259354,0.5147485,0.7495818
0.9776078,0.08767749,0.4618151,1.054659
1.075248,0.3034634,0.4156346,1.304609
1.14927,0.6453818,0.3815722,1.439782
1.173479,1.028165,0.3543644,1.43337
1.136665,1.367463,0.3260572,1.297948
1.048694,1.600423,0.2984794,1.081903
0.9303,1.700253,0.2873358,0.8564287
0.7969429,1.680964,0.3126973,0.6965243
0.6521018,1.591282,0.3835857,0.6607209
0.4954486,1.499418,0.4900906,0.7748982
0.3365611,1.472738,0.6097793,1.024328
0.1990781,1.557715,0.7222375,1.356238
0.109417,1.76548,0.8187273,1.692281
0.07933728,2.066833,0.8993308,1.947981
0.09829343,2.398113,0.9622801,2.054157
0.1430024,2.676595,0.9973645,1.974981
0.1959268,2.821487,0.9909393,1.717921
0.2562715,2.775208,0.9381931,1.33301
0.3343481,2.519506,0.8508087,0.9013376
0.435784,2.082096,0.7519715,0.5157495
0.5513885,1.532131,0.6623535,0.258317
0.6624484,0.9653371,0.5889771,0.1804305
0.7560344,0.482565,0.5261395,0.2904145
0.8349389,0.1669193,0.4663119,0.5518723
0.9119786,0.06516515,0.4101727,0.8932452
0.9934992,0.1779824,0.3664253,1.226152
1.067823,0.4613847,0.3425045,1.467878
1.110128,0.8388912,0.3360445,1.562329
1.100074,1.221197,0.336202,1.494084
1.036602,1.528416,0.3340634,1.291924
0.9368979,1.709182,0.3324131,1.020969
0.8214067,1.751883,0.3453303,0.7653327
0.6994642,1.685276,0.3874964,0.6057593
0.5688821,1.568507,0.46251,0.5980256
0.4288893,1.473244,0.5602292,0.7576159
0.2925587,1.462699,0.6646663,1.054717
0.1852739,1.573045,0.7643482,1.420988
0.1292068,1.802142,0.8555635,1.766312
0.1276638,2.108489,0.9364035,2.001553
0.1638142,2.420884,0.998783,2.061398
0.2152596,2.65619,1.027621,1.921483
0.2712869,2.740888,1.009276,1.605394
0.3373569,2.630672,0.9421973,1.179688
0.4237104,2.323273,0.8401125,0.7379667
0.5298245,1.860926,0.7247123,0.3781787
0.64013,1.321988,0.6139731,0.1785775
0.735096,0.8034547,0.5158069,0.1786151
0.80685,0.3989666,0.431144,0.3694918
0.8638785,0.1774417,0.3616817,0.6968075
0.9199113,0.1678776,0.3137146,1.074601
0.977318,0.3537703,0.2940305,1.407332
1.020915,0.6786508,0.3022401,1.614039
1.028485,1.060986,0.327841,1.64873
0.9886045,1.414828,0.3559537,1.511684
0.9095675,1.670722,0.377531,1.248831
0.8116608,1.791861,0.3953224,0.9393916
0.7106408,1.78129,0.4206843,0.6749648
0.6082521,1.678726,0.4642445,0.5353248
0.4983146,1.547831,0.5286222,0.5673353
0.3817165,1.457535,0.6085628,0.7721964
0.2747941,1.462163,0.696766,1.10451
0.2020108,1.58583,0.7885137,1.483353
0.1789102,1.814831,0.8803552,1.812667
0.2009606,2.100315,0.9646431,2.005686
0.2486495,2.370335,1.026499,2.007321
0.3040891,2.548291,1.047827,1.808639
0.3638335,2.573029,1.016509,1.449789
0.4365029,2.415416,0.933743,1.010567
0.5284177,2.087128,0.813905,0.5909135
0.6316989,1.639413,0.6774228,0.2863057
0.7267124,1.152053,0.5427087,0.1642242
0.7966226,0.7152364,0.4227806,0.2476101
0.8401468,0.4088947,0.3271108,0.5095469
0.8701445,0.2845138,0.2641982,0.8804181
0.8992442,0.353934,0.2405138,1.26578
0.9260632,0.5878264,0.2560176,1.570288
0.9351012,0.9239927,0.3009101,1.721724
0.9104211,1.283331,0.3579819,1.688909
0.8502829,1.589409,0.4102598,1.489059
0.7691236,1.786551,0.4488465,1.182758
0.6854392,1.852228,0.475593,0.8578188
0.6073718,1.800536,0.4994456,0.6062707
0.52975,1.676274,0.5301393,0.5003579
0.4450076,1.541262,0.5740884,0.5736537
0.3569934,1.456678,0.6340811,0.8121724
0.2837926,1.465849,0.7105256,1.157746
0.246222,1.582205,0.8010073,1.52272
0.252339,1.78519,0.8976938,1.81233
0.2921994,2.02531,0.9854856,1.948993
0.3474762,2.236899,1.044228,1.892264
0.4066549,2.355291,1.05525,1.649512
0.4716661,2.333943,1.008804,1.274456
0.5502357,2.157264,0.9079578,0.8539869
0.6421281,1.845697,0.7672029,0.4866708
0.7331264,1.451972,0.6075328,0.2582474
0.8030944,1.049253,0.451447,0.22041
0.8407621,0.7143596,0.319641,0.3782136
0.8514126,0.5099999,0.2289074,0.6891749
0.8502334,0.4705931,0.1895963,1.074284
0.8476396,0.5949167,0.2027368,1.438139
0.8402925,0.847402,0.2585908,1.692893
0.8159196,1.167519,0.3388018,1.780156
0.766879,1.484848,0.4220752,1.685208
0.6993085,1.735926,0.4909727,1.43998
0.6291114,1.878843,0.5366163,1.114239
